index,RespondentID,Political_Views,Trust_In_Press,Online_Paid_Access,Impression_With_Access_To_Data,Trump_As_President,Age,Gender,Income,US_Region,StartDate,EndDate
0,6176264298,Moderate,Fair Amount,No,No Change,Strongly Disapprove,30-44,Male,"$10,000-$24,999",East South Central,5/1/2017 15:41,5/1/2017 15:43
1,6176263960,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,18-29,Female,"$0-$9,999",Middle Atlantic,5/1/2017 15:35,5/1/2017 15:43
2,6176258621,Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$125,000-$149,999",East North Central,5/1/2017 15:38,5/1/2017 15:40
3,6176257082,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$125,000-$149,999",Mountain,5/1/2017 15:38,5/1/2017 15:39
4,6176256111,Liberal,Fair Amount,Yes,No Change,Strongly Disapprove,30-44,Male,"$10,000-$24,999",Pacific,5/1/2017 15:34,5/1/2017 15:39
5,6176254380,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Female,"$200,000 & up",Mountain,5/1/2017 15:35,5/1/2017 15:38
6,6176253761,Conservative,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$50,000-$74,999",East North Central,5/1/2017 15:36,5/1/2017 15:37
7,6176248227,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$10,000-$24,999",Pacific,5/1/2017 15:33,5/1/2017 15:34
8,6176247712,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,5/1/2017 15:31,5/1/2017 15:34
9,6176246249,Very Conservative,None At All,No,Increase Trust,Strongly Approve,45-59,Male,"$75,000-$99,999",East North Central,5/1/2017 15:32,5/1/2017 15:33
10,6176240275,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,45-59,Female,"$150,000-$174,999",New England,5/1/2017 15:17,5/1/2017 15:30
11,6176239653,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,18-29,Male,"$75,000-$99,999",East North Central,5/1/2017 15:29,5/1/2017 15:30
12,6176239120,Conservative,Fair Amount,Yes,Decrease Trust,Somewhat Approve,30-44,Male,"$0-$9,999",East North Central,5/1/2017 15:16,5/1/2017 15:30
13,6176230911,Moderate,Great Deal,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$0-$9,999",East North Central,5/1/2017 15:24,5/1/2017 15:25
14,6176222414,Moderate,Fair Amount,No,Increase Trust,Somewhat Approve,30-44,Female,"$50,000-$74,999",South Atlantic,5/1/2017 15:19,5/1/2017 15:20
15,6176221532,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,60+,Female,"$10,000-$24,999",West North Central,5/1/2017 15:17,5/1/2017 15:19
16,6176218682,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Female,"$25,000-$49,999",East North Central,5/1/2017 15:16,5/1/2017 15:18
17,6176210747,Conservative,Fair Amount,Yes,Increase Trust,Somewhat Approve,30-44,Male,"$50,000-$74,999",West South Central,5/1/2017 15:12,5/1/2017 15:13
18,6176209160,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,60+,Female,"$50,000-$74,999",Middle Atlantic,5/1/2017 15:12,5/1/2017 15:13
19,6176205330,Very Liberal,Not Very Much,No,No Change,Strongly Disapprove,30-44,Male,"$175,000-$199,999",East North Central,5/1/2017 15:09,5/1/2017 15:10
20,6176205070,Moderate,Not Very Much,Yes,Increase Trust,Strongly Disapprove,30-44,Male,Prefer Not To Answer,West South Central,5/1/2017 15:09,5/1/2017 15:10
21,6176199379,Conservative,Fair Amount,No,No Change,Strongly Approve,18-29,Female,"$0-$9,999",Pacific,5/1/2017 15:06,5/1/2017 15:07
22,6176197758,Moderate,Fair Amount,Yes,Increase Trust,Somewhat Disapprove,60+,Female,"$100,000-$124,999",South Atlantic,5/1/2017 15:05,5/1/2017 15:06
23,6176197497,Moderate,Not Very Much,No,Decrease Trust,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",New England,5/1/2017 15:04,5/1/2017 15:06
24,6176196061,Moderate,Not Very Much,No,No Change,Somewhat Disapprove,30-44,Male,"$100,000-$124,999",Middle Atlantic,5/1/2017 15:04,5/1/2017 15:05
25,6176191434,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Female,"$125,000-$149,999",New England,5/1/2017 15:02,5/1/2017 15:03
26,6176190631,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",West North Central,5/1/2017 15:01,5/1/2017 15:02
27,6176185417,Moderate,Not Very Much,No,No Change,Somewhat Approve,30-44,Male,"$0-$9,999",East North Central,5/1/2017 14:58,5/1/2017 14:59
28,6176180692,Conservative,Not Very Much,Yes,Increase Trust,Somewhat Disapprove,18-29,Male,"$0-$9,999",East North Central,5/1/2017 14:55,5/1/2017 14:57
29,6176173909,Conservative,Fair Amount,No,Increase Trust,Somewhat Approve,18-29,Male,"$100,000-$124,999",South Atlantic,5/1/2017 14:51,5/1/2017 14:52
30,6176166967,Very Liberal,None At All,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",South Atlantic,5/1/2017 14:47,5/1/2017 14:48
31,6176166265,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,60+,Male,"$25,000-$49,999",South Atlantic,5/1/2017 14:46,5/1/2017 14:48
32,6176165359,Conservative,None At All,No,Increase Trust,Somewhat Approve,45-59,Male,Prefer Not To Answer,South Atlantic,5/1/2017 14:46,5/1/2017 14:47
33,6176164444,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",West South Central,5/1/2017 14:46,5/1/2017 14:47
34,6176151505,Liberal,Fair Amount,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$200,000 & up",Pacific,5/1/2017 14:37,5/1/2017 14:39
35,6176147640,Conservative,Fair Amount,Yes,No Change,Somewhat Approve,18-29,Male,"$10,000-$24,999",0,5/1/2017 14:36,5/1/2017 14:36
36,6176143182,Moderate,Fair Amount,No,No Change,Somewhat Approve,30-44,Female,Prefer Not To Answer,0,5/1/2017 14:32,5/1/2017 14:34
37,6176135243,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$50,000-$74,999",Pacific,5/1/2017 14:27,5/1/2017 14:29
38,6176132519,Moderate,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$75,000-$99,999",South Atlantic,5/1/2017 14:26,5/1/2017 14:27
39,6176128957,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,60+,Male,"$75,000-$99,999",South Atlantic,5/1/2017 14:23,5/1/2017 14:25
40,6176126463,Moderate,Not Very Much,No,No Change,Strongly Approve,45-59,Female,"$100,000-$124,999",South Atlantic,5/1/2017 14:22,5/1/2017 14:23
41,6176125238,Liberal,Not Very Much,No,Increase Trust,Somewhat Disapprove,60+,Female,"$100,000-$124,999",South Atlantic,5/1/2017 14:21,5/1/2017 14:22
42,6176124673,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,Prefer Not To Answer,South Atlantic,5/1/2017 14:21,5/1/2017 14:22
43,6176113929,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$10,000-$24,999",South Atlantic,5/1/2017 14:13,5/1/2017 14:15
44,6176096513,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,5/1/2017 14:03,5/1/2017 14:04
45,6176087671,Moderate,None At All,No,No Change,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",East North Central,5/1/2017 13:57,5/1/2017 13:58
46,6176085327,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Female,"$125,000-$149,999",New England,5/1/2017 13:56,5/1/2017 13:56
47,6176082763,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$100,000-$124,999",Mountain,5/1/2017 13:52,5/1/2017 13:55
48,6176063250,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,"$50,000-$74,999",East South Central,5/1/2017 13:40,5/1/2017 13:41
49,6175970376,Conservative,None At All,No,Increase Trust,Strongly Approve,18-29,Male,"$25,000-$49,999",West South Central,5/1/2017 12:25,5/1/2017 12:25
50,6175968438,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$75,000-$99,999",South Atlantic,5/1/2017 12:23,5/1/2017 12:24
51,6175952654,Conservative,Not Very Much,No,No Change,Strongly Approve,30-44,Male,"$50,000-$74,999",Pacific,5/1/2017 12:06,5/1/2017 12:07
52,6175936310,Liberal,Great Deal,Yes,Increase Trust,Strongly Disapprove,18-29,Male,"$100,000-$124,999",South Atlantic,5/1/2017 11:47,5/1/2017 11:47
53,6175902619,Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",Pacific,5/1/2017 10:56,5/1/2017 10:58
54,6175796220,Liberal,Fair Amount,No,No Change,Strongly Disapprove,18-29,Male,Prefer Not To Answer,Middle Atlantic,5/1/2017 7:26,5/1/2017 7:28
55,6175757592,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$0-$9,999",East North Central,5/1/2017 6:03,5/1/2017 6:04
56,6175721406,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$75,000-$99,999",Pacific,5/1/2017 4:39,5/1/2017 4:40
57,6175666740,Moderate,None At All,No,Increase Trust,Strongly Disapprove,30-44,Male,"$10,000-$24,999",East North Central,5/1/2017 2:58,5/1/2017 2:58
58,6175650732,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",Middle Atlantic,5/1/2017 2:30,5/1/2017 2:31
59,6175595990,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,5/1/2017 1:06,5/1/2017 1:07
60,6175577730,Moderate,Not Very Much,Yes,Increase Trust,Strongly Disapprove,18-29,Male,"$25,000-$49,999",New England,5/1/2017 0:37,5/1/2017 0:38
