respondentid,political_views,trust_in_press,online_paid_access,impression_with_access_to_data,trump_as_president,age,gender,income,us_region,startdate,enddate,new_york_times,wall_street_journal,usa_today,washington_post,fox_news,breitbart,cnn,buzzfeed,huffington_post,time,us_news_and_world_report,other
6176264298,Moderate,Fair Amount,No,No Change,Strongly Disapprove,30-44,Male,"$10,000-$24,999",East South Central,2017-05-01,2017-05-01,1,0,1,0,0,0,1,0,0,1,0,0
6176263960,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,18-29,Female,"$0-$9,999",Middle Atlantic,2017-05-01,2017-05-01,1,0,0,0,0,0,1,0,0,0,0,0
6176258621,Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$125,000-$149,999",East North Central,2017-05-01,2017-05-01,1,0,0,1,0,0,0,0,0,0,0,BBC
6176257082,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$125,000-$149,999",Mountain,2017-05-01,2017-05-01,0,0,0,1,0,0,0,0,0,0,0,"BBC News, and local news outlets "
6176256111,Liberal,Fair Amount,Yes,No Change,Strongly Disapprove,30-44,Male,"$10,000-$24,999",Pacific,2017-05-01,2017-05-01,1,1,1,0,0,0,1,1,0,1,0,0
6176254380,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Female,"$200,000 & up",Mountain,2017-05-01,2017-05-01,1,1,0,1,0,0,0,0,0,0,0,0
6176253761,Conservative,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$50,000-$74,999",East North Central,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,None
6176248227,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$10,000-$24,999",Pacific,2017-05-01,2017-05-01,0,0,0,0,1,0,1,0,0,0,0,0
6176247712,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,2017-05-01,2017-05-01,1,1,0,0,0,0,0,0,0,0,0,"NPR, Reuters, New Yorker, Al Jazeera English, The Onion"
6176246249,Very Conservative,None At All,No,Increase Trust,Strongly Approve,45-59,Male,"$75,000-$99,999",East North Central,2017-05-01,2017-05-01,0,0,0,0,1,0,0,0,0,0,0,0
6176240275,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,45-59,Female,"$150,000-$174,999",New England,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,Boston Globe
6176239653,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,18-29,Male,"$75,000-$99,999",East North Central,2017-05-01,2017-05-01,1,0,0,0,0,0,1,0,0,0,0,0
6176239120,Conservative,Fair Amount,Yes,Decrease Trust,Somewhat Approve,30-44,Male,"$0-$9,999",East North Central,2017-05-01,2017-05-01,1,1,1,0,1,0,1,0,0,0,0,0
6176230911,Moderate,Great Deal,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$0-$9,999",East North Central,2017-05-01,2017-05-01,1,0,0,1,0,0,1,0,1,0,0,0
6176222414,Moderate,Fair Amount,No,Increase Trust,Somewhat Approve,30-44,Female,"$50,000-$74,999",South Atlantic,2017-05-01,2017-05-01,1,1,0,0,1,0,1,0,1,0,1,0
6176221532,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,60+,Female,"$10,000-$24,999",West North Central,2017-05-01,2017-05-01,1,0,0,1,0,0,0,0,0,0,0,PBS and NPR. Also the Guardian from Great Britain.
6176218682,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Female,"$25,000-$49,999",East North Central,2017-05-01,2017-05-01,1,1,1,1,0,0,1,0,1,1,1,0
6176210747,Conservative,Fair Amount,Yes,Increase Trust,Somewhat Approve,30-44,Male,"$50,000-$74,999",West South Central,2017-05-01,2017-05-01,0,0,1,0,0,0,0,0,1,1,1,0
6176209160,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,60+,Female,"$50,000-$74,999",Middle Atlantic,2017-05-01,2017-05-01,1,1,0,0,0,0,0,0,0,0,0,0
6176205330,Very Liberal,Not Very Much,No,No Change,Strongly Disapprove,30-44,Male,"$175,000-$199,999",East North Central,2017-05-01,2017-05-01,1,1,1,1,0,0,1,0,0,1,1,0
6176205070,Moderate,Not Very Much,Yes,Increase Trust,Strongly Disapprove,30-44,Male,Prefer Not To Answer,West South Central,2017-05-01,2017-05-01,1,1,0,1,0,0,1,0,0,1,0,"NPR, PBS, BBC, WIKITRIBUNE (once it rolls out)"
6176199379,Conservative,Fair Amount,No,No Change,Strongly Approve,18-29,Female,"$0-$9,999",Pacific,2017-05-01,2017-05-01,0,0,0,0,1,0,0,0,0,0,0,0
6176197758,Moderate,Fair Amount,Yes,Increase Trust,Somewhat Disapprove,60+,Female,"$100,000-$124,999",South Atlantic,2017-05-01,2017-05-01,1,0,0,1,0,0,1,0,0,0,0,0
6176197497,Moderate,Not Very Much,No,Decrease Trust,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",New England,2017-05-01,2017-05-01,0,0,1,0,0,0,0,0,0,0,1,0
6176196061,Moderate,Not Very Much,No,No Change,Somewhat Disapprove,30-44,Male,"$100,000-$124,999",Middle Atlantic,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,None of them. You have to read around and think critically. 
6176191434,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Female,"$125,000-$149,999",New England,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,1,0
6176190631,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",West North Central,2017-05-01,2017-05-01,0,1,0,0,0,0,1,0,1,1,0,0
6176185417,Moderate,Not Very Much,No,No Change,Somewhat Approve,30-44,Male,"$0-$9,999",East North Central,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,none
6176180692,Conservative,Not Very Much,Yes,Increase Trust,Somewhat Disapprove,18-29,Male,"$0-$9,999",East North Central,2017-05-01,2017-05-01,0,1,0,0,0,0,0,0,0,0,0,0
6176173909,Conservative,Fair Amount,No,Increase Trust,Somewhat Approve,18-29,Male,"$100,000-$124,999",South Atlantic,2017-05-01,2017-05-01,0,1,0,1,1,0,0,0,0,0,1,0
6176166967,Very Liberal,None At All,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",South Atlantic,2017-05-01,2017-05-01,1,0,0,0,0,0,0,0,0,0,0,0
6176166265,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,60+,Male,"$25,000-$49,999",South Atlantic,2017-05-01,2017-05-01,1,1,0,0,0,0,0,0,0,0,0,0
6176165359,Conservative,None At All,No,Increase Trust,Somewhat Approve,45-59,Male,Prefer Not To Answer,South Atlantic,2017-05-01,2017-05-01,0,0,0,0,1,0,0,0,0,0,0,0
6176164444,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",West South Central,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,NPR
6176151505,Liberal,Fair Amount,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$200,000 & up",Pacific,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,"UK Independent, AP, Reuters"
6176147640,Conservative,Fair Amount,Yes,No Change,Somewhat Approve,18-29,Male,"$10,000-$24,999",0,2017-05-01,2017-05-01,0,0,0,0,0,0,1,0,0,0,0,0
6176143182,Moderate,Fair Amount,No,No Change,Somewhat Approve,30-44,Female,Prefer Not To Answer,0,2017-05-01,2017-05-01,0,0,0,0,0,0,0,1,0,0,0,0
6176135243,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$50,000-$74,999",Pacific,2017-05-01,2017-05-01,1,1,0,1,0,0,1,0,0,1,1,0
6176132519,Moderate,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$75,000-$99,999",South Atlantic,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,"None, but I look at several different outlets"
6176128957,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,60+,Male,"$75,000-$99,999",South Atlantic,2017-05-01,2017-05-01,0,1,0,0,0,0,0,0,0,1,1,0
6176126463,Moderate,Not Very Much,No,No Change,Strongly Approve,45-59,Female,"$100,000-$124,999",South Atlantic,2017-05-01,2017-05-01,0,0,0,0,1,0,0,0,0,0,0,0
6176125238,Liberal,Not Very Much,No,Increase Trust,Somewhat Disapprove,60+,Female,"$100,000-$124,999",South Atlantic,2017-05-01,2017-05-01,1,0,0,1,0,0,0,0,0,1,1,0
6176124673,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,Prefer Not To Answer,South Atlantic,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,I don't trust any single source fully.
6176113929,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$10,000-$24,999",South Atlantic,2017-05-01,2017-05-01,1,1,0,1,0,0,1,0,0,1,0,0
6176096513,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,I don't trust any of them
6176087671,Moderate,None At All,No,No Change,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",East North Central,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,none
6176085327,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Female,"$125,000-$149,999",New England,2017-05-01,2017-05-01,1,1,0,0,0,0,1,0,0,0,0,0
6176082763,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$100,000-$124,999",Mountain,2017-05-01,2017-05-01,0,0,1,0,0,0,0,0,0,0,0,0
6176063250,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,"$50,000-$74,999",East South Central,2017-05-01,2017-05-01,1,0,1,1,0,0,0,0,0,0,1,0
6175970376,Conservative,None At All,No,Increase Trust,Strongly Approve,18-29,Male,"$25,000-$49,999",West South Central,2017-05-01,2017-05-01,0,0,0,0,1,0,0,0,0,0,0,0
6175968438,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$75,000-$99,999",South Atlantic,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,"fully, accurately, and fairly - none, not a single news outlet"
6175952654,Conservative,Not Very Much,No,No Change,Strongly Approve,30-44,Male,"$50,000-$74,999",Pacific,2017-05-01,2017-05-01,0,0,0,0,1,0,0,0,0,0,0,0
6175936310,Liberal,Great Deal,Yes,Increase Trust,Strongly Disapprove,18-29,Male,"$100,000-$124,999",South Atlantic,2017-05-01,2017-05-01,1,1,0,1,0,0,1,0,0,0,0,0
6175902619,Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",Pacific,2017-05-01,2017-05-01,1,0,0,1,0,0,0,0,0,0,0,"Guardian, NPR"
6175796220,Liberal,Fair Amount,No,No Change,Strongly Disapprove,18-29,Male,Prefer Not To Answer,Middle Atlantic,2017-05-01,2017-05-01,1,1,0,1,0,0,0,0,1,0,0,Other international outlets 
6175757592,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$0-$9,999",East North Central,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,1,0,0,0
6175721406,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$75,000-$99,999",Pacific,2017-05-01,2017-05-01,1,1,1,1,0,0,0,0,0,0,0,0
6175666740,Moderate,None At All,No,Increase Trust,Strongly Disapprove,30-44,Male,"$10,000-$24,999",East North Central,2017-05-01,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,none
6175650732,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",Middle Atlantic,2017-05-01,2017-05-01,1,1,1,1,0,0,1,0,0,1,1,0
6175595990,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,2017-05-01,2017-05-01,1,0,1,0,0,0,1,0,0,1,0,0
6175577730,Moderate,Not Very Much,Yes,Increase Trust,Strongly Disapprove,18-29,Male,"$25,000-$49,999",New England,2017-05-01,2017-05-01,1,0,0,0,0,0,1,0,0,0,1,0
6175575232,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$200,000 & up",Mountain,2017-05-01,2017-05-01,1,1,0,1,0,0,1,0,0,1,1,0
6175545225,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",West North Central,2017-04-30,2017-04-30,0,0,0,0,1,0,0,0,0,0,0,0
6175543951,Moderate,Fair Amount,Yes,Increase Trust,Somewhat Disapprove,30-44,Male,"$50,000-$74,999",East South Central,2017-04-30,2017-04-30,1,1,1,1,1,0,0,0,0,1,0,0
6175538052,Conservative,Fair Amount,No,Increase Trust,Somewhat Approve,30-44,Male,"$50,000-$74,999",South Atlantic,2017-04-30,2017-04-30,0,0,0,0,0,0,0,0,0,0,0,Npr
6175492622,Moderate,None At All,No,No Change,Somewhat Disapprove,18-29,Male,"$0-$9,999",West South Central,2017-04-30,2017-04-30,0,0,0,0,0,0,0,1,0,0,0,0
6175475715,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$150,000-$174,999",East North Central,2017-04-30,2017-04-30,0,1,0,0,0,0,0,0,0,0,0,0
6175452466,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$100,000-$124,999",Middle Atlantic,2017-04-30,2017-04-30,0,0,0,0,1,0,0,0,0,0,0,0
6175440990,Conservative,Fair Amount,Yes,Decrease Trust,Somewhat Approve,18-29,Male,"$10,000-$24,999",Pacific,2017-04-30,2017-04-30,1,1,1,1,1,1,1,1,1,1,1,0
6175352617,Conservative,None At All,No,No Change,Somewhat Approve,30-44,Male,"$125,000-$149,999",West North Central,2017-04-30,2017-04-30,0,1,0,0,1,0,0,0,0,0,0,0
6175331199,Conservative,Fair Amount,No,Decrease Trust,Somewhat Disapprove,30-44,Male,"$10,000-$24,999",West North Central,2017-04-30,2017-04-30,0,0,0,0,0,0,1,0,0,0,0,0
6175326808,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$150,000-$174,999",East North Central,2017-04-30,2017-04-30,1,1,0,1,0,0,0,0,0,0,0,0
6175288331,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",Pacific,2017-04-30,2017-04-30,0,1,0,0,0,0,0,0,0,0,0,0
6175234025,Conservative,None At All,No,Increase Trust,Strongly Approve,18-29,Male,"$200,000 & up",East North Central,2017-04-30,2017-04-30,0,0,0,0,1,0,0,0,0,0,0,0
6175217916,Very Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",Pacific,2017-04-30,2017-04-30,1,1,0,1,0,0,0,0,0,1,1,"NPR, BBC News"
6175208622,Very Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$150,000-$174,999",Middle Atlantic,2017-04-30,2017-04-30,1,1,1,1,0,0,1,0,0,1,0,0
6175188576,Conservative,Fair Amount,No,Increase Trust,Somewhat Approve,18-29,Male,"$50,000-$74,999",West North Central,2017-04-30,2017-04-30,1,0,1,0,0,0,0,0,0,0,0,0
6175109552,Conservative,Not Very Much,Yes,Increase Trust,Strongly Approve,18-29,Male,"$75,000-$99,999",Mountain,2017-04-30,2017-04-30,0,0,0,0,1,0,0,0,0,0,0,0
6175081432,Liberal,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,Prefer Not To Answer,New England,2017-04-30,2017-04-30,0,0,0,0,0,0,0,0,0,0,0,None
6175069051,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,2017-04-30,2017-04-30,1,0,1,1,0,0,0,0,0,1,0,The Young Turks
6175060163,Conservative,None At All,No,Increase Trust,Somewhat Approve,30-44,Male,"$200,000 & up",East South Central,2017-04-30,2017-04-30,0,1,0,0,1,0,0,0,0,0,1,0
6175045530,Very Conservative,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,Prefer Not To Answer,East North Central,2017-04-30,2017-04-30,0,0,0,0,0,0,0,0,0,0,0,The Blaze
6175043034,Very Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$125,000-$149,999",New England,2017-04-30,2017-04-30,0,0,0,0,0,0,0,0,0,0,0,My curated Twitter feed of journalists
6175031380,Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,18-29,Male,Prefer Not To Answer,West North Central,2017-04-30,2017-04-30,1,1,0,0,0,0,0,0,0,0,0,0
6175021362,Conservative,None At All,No,No Change,Somewhat Approve,30-44,Male,"$75,000-$99,999",South Atlantic,2017-04-30,2017-04-30,0,0,0,0,0,0,0,0,0,0,0,The no agenda show
6174992718,Very Conservative,None At All,No,Increase Trust,Strongly Approve,30-44,Male,"$50,000-$74,999",West South Central,2017-04-30,2017-04-30,0,1,0,0,1,0,0,0,0,0,1,0
6174964137,Conservative,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$100,000-$124,999",West South Central,2017-04-29,2017-04-29,0,1,1,0,1,0,0,0,0,0,0,0
6174963958,Conservative,Fair Amount,No,No Change,Somewhat Approve,18-29,Male,"$50,000-$74,999",Pacific,2017-04-29,2017-04-29,1,1,1,1,1,0,1,0,0,1,1,0
6174949564,Very Conservative,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",East South Central,2017-04-29,2017-04-29,0,0,0,0,1,0,0,0,0,0,0,0
6174942368,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$50,000-$74,999",South Atlantic,2017-04-29,2017-04-29,0,1,0,0,0,0,0,0,0,0,0,0
6174940319,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$10,000-$24,999",West North Central,2017-04-29,2017-04-29,0,0,0,0,0,0,1,0,0,1,0,0
6174938691,Conservative,Not Very Much,No,No Change,Strongly Approve,30-44,Male,"$50,000-$74,999",East North Central,2017-04-29,2017-04-29,0,0,0,0,1,0,0,0,0,0,0,0
6174933174,Moderate,Fair Amount,Yes,Increase Trust,Strongly Approve,18-29,Male,"$150,000-$174,999",Pacific,2017-04-29,2017-04-29,1,1,0,1,0,0,0,0,0,0,0,"Economist, BBC, The Guardian"
6174924286,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,Prefer Not To Answer,East North Central,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,"None, I read a variety to sort out biases"
6174905782,Moderate,Fair Amount,Yes,Decrease Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",Middle Atlantic,2017-04-29,2017-04-29,1,1,0,1,0,0,0,0,1,1,1,0
6174904819,Conservative,Fair Amount,Yes,Increase Trust,Somewhat Approve,18-29,Male,"$10,000-$24,999",Middle Atlantic,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,None
6174903897,Liberal,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$0-$9,999",Middle Atlantic,2017-04-29,2017-04-29,1,1,1,1,0,0,1,0,1,1,1,0
6174887554,Moderate,Fair Amount,No,Decrease Trust,Strongly Approve,30-44,Male,"$10,000-$24,999",West South Central,2017-04-29,2017-04-29,0,0,0,0,0,0,1,0,0,0,1,0
6174882065,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$0-$9,999",South Atlantic,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,The Colbert report 
6174877215,Conservative,None At All,No,No Change,Strongly Approve,30-44,Male,"$50,000-$74,999",East North Central,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,DRUDGE REPORT
6174817286,Very Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",East South Central,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,"The Intercept...AP, AFP, Reuters"
6174810375,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,18-29,Male,Prefer Not To Answer,East North Central,2017-04-29,2017-04-29,1,0,0,1,0,0,0,0,0,0,0,0
