RespondentID,political_views
6176264298,Moderate
6176263960,Moderate
6176258621,Liberal
6176257082,Liberal
6176256111,Liberal
6176254380,Liberal
6176253761,Conservative
6176248227,Moderate
6176247712,Moderate
6176246249,Very Conservative
6176240275,Moderate
6176239653,Moderate
6176239120,Conservative
6176230911,Moderate
6176222414,Moderate
6176221532,Liberal
6176218682,Liberal
6176210747,Conservative
6176209160,Moderate
6176205330,Very Liberal
6176205070,Moderate
6176199379,Conservative
6176197758,Moderate
6176197497,Moderate
6176196061,Moderate
6176191434,Liberal
6176190631,Moderate
6176185417,Moderate
6176180692,Conservative
6176173909,Conservative
6176166967,Very Liberal
6176166265,Moderate
6176165359,Conservative
6176164444,Liberal
6176151505,Liberal
6176147640,Conservative
6176143182,Moderate
6176135243,Liberal
6176132519,Moderate
6176128957,Moderate
6176126463,Moderate
6176125238,Liberal
6176124673,Moderate
6176113929,Very Liberal
6176096513,Liberal
6176087671,Moderate
6176085327,Moderate
6176082763,Conservative
6176063250,Conservative
6175970376,Conservative
6175968438,Moderate
6175952654,Conservative
6175936310,Liberal
6175902619,Liberal
6175796220,Liberal
6175757592,Moderate
6175721406,Liberal
6175666740,Moderate
6175650732,Very Liberal
6175595990,Moderate
6175577730,Moderate
6175575232,Moderate
6175545225,Liberal
6175543951,Moderate
6175538052,Conservative
6175492622,Moderate
6175475715,Moderate
6175452466,Moderate
6175440990,Conservative
6175352617,Conservative
6175331199,Conservative
6175326808,Moderate
6175288331,Moderate
6175234025,Conservative
6175217916,Very Liberal
6175208622,Very Liberal
6175188576,Conservative
6175109552,Conservative
6175081432,Liberal
6175069051,Very Liberal
6175060163,Conservative
6175045530,Very Conservative
6175043034,Very Liberal
6175031380,Liberal
6175021362,Conservative
6174992718,Very Conservative
6174964137,Conservative
6174963958,Conservative
6174949564,Very Conservative
6174942368,Liberal
6174940319,Moderate
6174938691,Conservative
6174933174,Moderate
6174924286,Conservative
6174905782,Moderate
6174904819,Conservative
6174903897,Liberal
6174887554,Moderate
6174882065,Very Liberal
6174877215,Conservative
6174817286,Very Liberal
6174810375,Liberal
6174794249,Moderate
6174790001,Moderate
6174756846,Very Liberal
6174747637,Moderate
6174736665,Very Liberal
6174726080,Very Liberal
6174721507,Liberal
6174709818,Liberal
6174704207,Moderate
6174702857,Moderate
6174669558,Moderate
6174560497,Conservative
6174494532,Moderate
6174450847,Very Liberal
6174422768,Liberal
6174412996,Very Liberal
6174407789,Moderate
6174400966,Moderate
6174395294,Moderate
6174375318,Conservative
6174359081,Moderate
6174331626,Very Liberal
6174318028,Conservative
6174315975,Moderate
6174302906,Moderate
6174275073,Very Conservative
6174248411,Moderate
6174171654,Moderate
6174170376,Liberal
6174134823,Moderate
6174104786,Conservative
6174086628,Moderate
6174015385,Conservative
6174007291,Moderate
6173999044,Moderate
6173982858,Very Liberal
6173978380,Moderate
6173925042,Conservative
6173916198,Moderate
6173886554,Conservative
6173844521,Conservative
6173835288,Very Liberal
6173811536,Moderate
6173793287,Liberal
6173790714,Moderate
6173784706,Very Liberal
6173780585,Moderate
6173772636,Moderate
6173761327,Very Conservative
6173761149,Liberal
6173750544,Moderate
6173745647,Very Liberal
6173684932,Moderate
6173677940,Moderate
6173667768,Moderate
6173660763,Very Liberal
6173613769,Moderate
6173611865,Very Conservative
6173592306,Liberal
6173589823,Moderate
6173583003,Moderate
6173576606,Conservative
6173510067,Liberal
6173507362,Very Liberal
6173439869,Conservative
6173433324,Liberal
6173423522,Very Liberal
6173423474,Liberal
6173419157,Liberal
6173414540,Liberal
6173412157,Liberal
6173409048,Moderate
6173401687,Moderate
6173401397,Conservative
6173400495,Moderate
6173394402,Very Conservative
6173386716,Moderate
6173385359,Conservative
6173375392,Moderate
6173361506,Conservative
6173360291,Liberal
6173358925,Moderate
6173357930,Liberal
6173355367,Liberal
6173354114,Liberal
6173351249,Moderate
6173351142,Liberal
6173350935,Moderate
6173349576,Very Liberal
6173343880,Liberal
6173341073,Moderate
6173339800,Conservative
6173338895,Liberal
6173337062,Conservative
6173336212,Liberal
6173332833,Conservative
6173328418,Moderate
6173328247,Liberal
6173328036,Moderate
6173322454,Very Conservative
6173317125,Very Liberal
6173313704,Moderate
6173311838,Moderate
6173311761,Liberal
6173309021,Moderate
6173307182,Liberal
6173303727,Liberal
6173300741,Moderate
6173299737,Liberal
6173294872,Moderate
6173294830,Liberal
6173288870,Very Conservative
6173287913,Moderate
6173285402,Moderate
6173283701,Moderate
6173280348,Moderate
6173278692,Moderate
6173274230,Moderate
6173274178,Liberal
6173271765,Moderate
6173268232,Very Liberal
6173266509,Liberal
6173261956,Moderate
6173260646,Liberal
6173251477,Very Liberal
6173249816,Moderate
6173235846,Moderate
6173233598,Moderate
6173226549,Very Liberal
6173218248,Moderate
6173215531,Liberal
6173213717,Conservative
6173212168,Moderate
6173211934,Moderate
6173209913,Very Liberal
6173200023,Moderate
6173197031,Liberal
6173196760,Moderate
6173194346,Liberal
6173193697,Very Liberal
6173192375,Liberal
6173184103,Moderate
6173183587,Moderate
6173176326,Very Conservative
6173172742,Conservative
6173171658,Moderate
6173170241,Moderate
6173165682,Conservative
6173164904,Very Conservative
6173164590,Conservative
6173163023,Conservative
6173162659,Liberal
6173161483,Conservative
6173156574,Moderate
6173156098,Liberal
6173152835,Conservative
6173149858,Moderate
6173149453,Conservative
6173146354,Moderate
6173137857,Moderate
6173136393,Liberal
6173133493,Conservative
6173130075,Liberal
6173126973,Very Liberal
6173119208,Moderate
6173118475,Moderate
6173116840,Very Conservative
6173109031,Conservative
6173106606,Moderate
6173093933,Conservative
6173091155,Liberal
6173087321,Very Conservative
6173080705,Moderate
6173077503,Conservative
6173072870,Moderate
6173069168,Conservative
6173066575,Liberal
6173058005,Moderate
6173056852,Very Conservative
6173055179,Moderate
6173049872,Moderate
6173047611,Liberal
6173046032,Liberal
6173044727,Moderate
6173043014,Conservative
6173035898,Very Conservative
6173035807,Very Liberal
6173029473,Moderate
6173022606,Moderate
6173020335,Moderate
6173020112,Moderate
6173018025,Moderate
6173015762,Moderate
6173011533,Moderate
6173009344,Moderate
6173005642,Liberal
6173005186,Conservative
6173002829,Moderate
6172998389,Liberal
6172996316,Moderate
6172995149,Moderate
6172994496,Liberal
6172992620,Very Liberal
6172985110,Moderate
6172982888,Moderate
6172979676,Very Liberal
6172975930,Moderate
6172975411,Moderate
6172974992,Liberal
